file_id	image_path	segmented_path	species	source
72957	dataset/images/lab/salix_caroliniana/wb1586-10-1.jpg	dataset/segmented/lab/salix_caroliniana/wb1586-10-1.png	Salix caroliniana	lab
59347	dataset/images/lab/koelreuteria_paniculata/wb1462-09-1.jpg	dataset/segmented/lab/koelreuteria_paniculata/wb1462-09-1.png	Koelreuteria paniculata	lab
66034	dataset/images/lab/pinus_pungens/wb1543-05-1.jpg	dataset/segmented/lab/pinus_pungens/wb1543-05-1.png	Pinus pungens	lab
1733780	dataset/images/field/metasequoia_glyptostroboides/13291677571097.jpg	dataset/segmented/field/metasequoia_glyptostroboides/13291677571097.png	Metasequoia glyptostroboides	field
56901	dataset/images/lab/acer_platanoides/wb1565-06-1.jpg	dataset/segmented/lab/acer_platanoides/wb1565-06-1.png	Acer platanoides	lab
85084	dataset/images/field/aesculus_pavi/13033299109385.jpg	dataset/segmented/field/aesculus_pavi/13033299109385.png	Aesculus pavi	field
80146	dataset/images/field/pinus_taeda/12992005279435.jpg	dataset/segmented/field/pinus_taeda/12992005279435.png	Pinus taeda	field
73965	dataset/images/lab/tilia_americana/pi0057-02-1.jpg	dataset/segmented/lab/tilia_americana/pi0057-02-1.png	Tilia americana	lab
80384	dataset/images/field/quercus_virginiana/12992007409755.jpg	dataset/segmented/field/quercus_virginiana/12992007409755.png	Quercus virginiana	field
61828	dataset/images/lab/crataegus_viridis/wb1453-06-1.jpg	dataset/segmented/lab/crataegus_viridis/wb1453-06-1.png	Crataegus viridis	lab
79636	dataset/images/field/diospyros_virginiana/12992000079622.jpg	dataset/segmented/field/diospyros_virginiana/12992000079622.png	Diospyros virginiana	field
16225	dataset/images/field/pinus_koraiensis/1258771293_0004.jpg	dataset/segmented/field/pinus_koraiensis/1258771293_0004.png	Pinus koraiensis	field
66518	dataset/images/lab/pinus_strobus/wb1081-01-1.jpg	dataset/segmented/lab/pinus_strobus/wb1081-01-1.png	Pinus strobus	lab
1736325	dataset/images/field/quercus_muehlenbergii/13292254753363.jpg	dataset/segmented/field/quercus_muehlenbergii/13292254753363.png	Quercus muehlenbergii	field
4840	dataset/images/field/quercus_phellos/1249580491_0002.jpg	dataset/segmented/field/quercus_phellos/1249580491_0002.png	Quercus phellos	field
67366	dataset/images/lab/platanus_occidentalis/pi2254-01-1.jpg	dataset/segmented/lab/platanus_occidentalis/pi2254-01-1.png	Platanus occidentalis	lab
79708	dataset/images/field/eucommia_ulmoides/12992000776481.jpg	dataset/segmented/field/eucommia_ulmoides/12992000776481.png	Eucommia ulmoides	field
83060	dataset/images/field/pyrus_calleryana/13002178983346.jpg	dataset/segmented/field/pyrus_calleryana/13002178983346.png	Pyrus calleryana	field
78872	dataset/images/lab/fraxinus_pennsylvanica/wb1063-01-1.jpg	dataset/segmented/lab/fraxinus_pennsylvanica/wb1063-01-1.png	Fraxinus pennsylvanica	lab
81610	dataset/images/field/chionanthus_retusus/13001303468641.jpg	dataset/segmented/field/chionanthus_retusus/13001303468641.png	Chionanthus retusus	field
64517	dataset/images/lab/malus_baccata/ny1181-03-1.jpg	dataset/segmented/lab/malus_baccata/ny1181-03-1.png	Malus baccata	lab
82955	dataset/images/field/prunus_virginiana/13002169497528.jpg	dataset/segmented/field/prunus_virginiana/13002169497528.png	Prunus virginiana	field
76612	dataset/images/lab/betula_nigra/wb1039-01-1.jpg	dataset/segmented/lab/betula_nigra/wb1039-01-1.png	Betula nigra	lab
4613	dataset/images/field/cedrus_atlantica/1249061153_0004.jpg	dataset/segmented/field/cedrus_atlantica/1249061153_0004.png	Cedrus atlantica	field
80119	dataset/images/field/pinus_echinata/12992005070062.jpg	dataset/segmented/field/pinus_echinata/12992005070062.png	Pinus echinata	field
82672	dataset/images/field/pinus_densiflora/13002013296479.jpg	dataset/segmented/field/pinus_densiflora/13002013296479.png	Pinus densiflora	field
1735860	dataset/images/field/prunus_sargentii/13292228491993.jpg	dataset/segmented/field/prunus_sargentii/13292228491993.png	Prunus sargentii	field
82304	dataset/images/field/magnolia_tripetala/13001973136561.jpg	dataset/segmented/field/magnolia_tripetala/13001973136561.png	Magnolia tripetala	field
65380	dataset/images/lab/malus_pumila/wb1538-05-1.jpg	dataset/segmented/lab/malus_pumila/wb1538-05-1.png	Malus pumila	lab
1733562	dataset/images/field/carya_ovata/13291664377895.jpg	dataset/segmented/field/carya_ovata/13291664377895.png	Carya ovata	field
83262	dataset/images/field/salix_babylonica/13002198996573.jpg	dataset/segmented/field/salix_babylonica/13002198996573.png	Salix babylonica	field
1734476	dataset/images/field/ulmus_glabra/13291717345756.jpg	dataset/segmented/field/ulmus_glabra/13291717345756.png	Ulmus glabra	field
59361	dataset/images/lab/amelanchier_canadensis/wb1299-08-1.jpg	dataset/segmented/lab/amelanchier_canadensis/wb1299-08-1.png	Amelanchier canadensis	lab
60321	dataset/images/lab/liriodendron_tulipifera/pi2247-02-1.jpg	dataset/segmented/lab/liriodendron_tulipifera/pi2247-02-1.png	Liriodendron tulipifera	lab
83143	dataset/images/field/quercus_nigra/13002189353397.jpg	dataset/segmented/field/quercus_nigra/13002189353397.png	Quercus nigra	field
80015	dataset/images/field/magnolia_virginiana/12992003582208.jpg	dataset/segmented/field/magnolia_virginiana/12992003582208.png	Magnolia virginiana	field
15965	dataset/images/field/ginkgo_biloba/1258480473_0005.jpg	dataset/segmented/field/ginkgo_biloba/1258480473_0005.png	Ginkgo biloba	field
71429	dataset/images/lab/quercus_michauxii/wb1026-04-1.jpg	dataset/segmented/lab/quercus_michauxii/wb1026-04-1.png	Quercus michauxii	lab
1734060	dataset/images/field/crataegus_laevigata/13291686973896.jpg	dataset/segmented/field/crataegus_laevigata/13291686973896.png	Crataegus laevigata	field
67226	dataset/images/lab/platanus_acerifolia/ny1132-08-1.jpg	dataset/segmented/lab/platanus_acerifolia/ny1132-08-1.png	Platanus acerifolia	lab
1736076	dataset/images/field/prunus_sargentii/13292233222350.jpg	dataset/segmented/field/prunus_sargentii/13292233222350.png	Prunus sargentii	field
77782	dataset/images/lab/chamaecyparis_pisifera/ny1104-06-1.jpg	dataset/segmented/lab/chamaecyparis_pisifera/ny1104-06-1.png	Chamaecyparis pisifera	lab
79646	dataset/images/field/diospyros_virginiana/12992000117223.jpg	dataset/segmented/field/diospyros_virginiana/12992000117223.png	Diospyros virginiana	field
79610	dataset/images/field/diospyros_virginiana/12991999853014.jpg	dataset/segmented/field/diospyros_virginiana/12991999853014.png	Diospyros virginiana	field
1735470	dataset/images/field/malus_baccata/13292190340189.jpg	dataset/segmented/field/malus_baccata/13292190340189.png	Malus baccata	field
83043	dataset/images/field/pyrus_calleryana/13002178980642.jpg	dataset/segmented/field/pyrus_calleryana/13002178980642.png	Pyrus calleryana	field
81683	dataset/images/field/cladrastis_lutea/13001306991582.jpg	dataset/segmented/field/cladrastis_lutea/13001306991582.png	Cladrastis lutea	field
76833	dataset/images/lab/broussonettia_papyrifera/wb1390-07-1.jpg	dataset/segmented/lab/broussonettia_papyrifera/wb1390-07-1.png	Broussonettia papyrifera	lab
70392	dataset/images/lab/albizia_julibrissin/wb1581-08-1.jpg	dataset/segmented/lab/albizia_julibrissin/wb1581-08-1.png	Albizia julibrissin	lab
56905	dataset/images/lab/acer_platanoides/wb1565-07-1.jpg	dataset/segmented/lab/acer_platanoides/wb1565-07-1.png	Acer platanoides	lab
62423	dataset/images/lab/maclura_pomifera/pi2775-01-3-375.jpg	dataset/segmented/lab/maclura_pomifera/pi2775-01-3-375.png	Maclura pomifera	lab
1734045	dataset/images/field/crataegus_laevigata/13291686972708.jpg	dataset/segmented/field/crataegus_laevigata/13291686972708.png	Crataegus laevigata	field
83138	dataset/images/field/quercus_nigra/13002189350873.jpg	dataset/segmented/field/quercus_nigra/13002189350873.png	Quercus nigra	field
82508	dataset/images/field/picea_pungens/13002006125849.jpg	dataset/segmented/field/picea_pungens/13002006125849.png	Picea pungens	field
80113	dataset/images/field/pinus_echinata/12992005000407.jpg	dataset/segmented/field/pinus_echinata/12992005000407.png	Pinus echinata	field
1735708	dataset/images/field/pinus_rigida/13292204289890.jpg	dataset/segmented/field/pinus_rigida/13292204289890.png	Pinus rigida	field
16651	dataset/images/field/aesculus_flava/1259118878_0025.jpg	dataset/segmented/field/aesculus_flava/1259118878_0025.png	Aesculus flava	field
